"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is not available in the requested quantity. %s of the items will be backordered."
"%s is available for purchase in increments of %s only.","%s is available for purchase in increments of %s only."
"%s is not a correct comparsion method.","%s is not a correct comparsion method."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart."
"Add Minimum Qty","Add Minimum Qty"
"Allow Qty Below 0","Permitir cantidades por debajo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidades por debajo del 0 y notificar al cliente"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Backorders","Pedidos de artículos agotados"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Cannot specify product identifier for the order item.","Cannot specify product identifier for the order item."
"Catalog Inventory","Inventario del Catálogo"
"Decrease Stock When Order is Placed","Disminuir las existencias cuando se realiza un Pedido"
"Display Out of Stock Products","Display Out of Stock Products"
"Display products availability in stock in the frontend","Display products availability in stock in the frontend"
"Enable Qty Increments","Enable Qty Increments"
"In Stock","En existencia"
"Index Product Stock Status","Index Product Stock Status"
"Inventory","Inventario"
"Inventory API","API inventario"
"Inventory Section","Sección del inventario"
"Manage Stock","Gestionar existencias"
"Maximum Qty Allowed in Shopping Cart","Máxima cantidad permitida en el carrito de compras"
"Minimum Qty","Minimum Qty"
"Minimum Qty Allowed in Shopping Cart","Mínima cantidad permitida en el carrito de compras"
"Multi update product stock data","Multi update product stock data"
"No Backorders","No hay pedidos de artículos agotados"
"Not all products are available in the requested quantity","Not all products are available in the requested quantity"
"Notify for Quantity Below","Notificar para cantidad debajo de"
"Only %s left","Only %s left"
"Only X left Threshold","Only X left Threshold"
"Out of Stock","Fuera de existencia"
"Product Name","Product Name"
"Product Stock Options","Opciones de los productos en existencia"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Qty","Qty"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Qty Increments","Qty Increments"
"Retrieve stock data","Recuperar los datos de saldos"
"Retrieve stock data by product ids","Recuperar los datos almacenados por ID Producto"
"Rule price","Regla de precios"
"Set Items' Status to be In Stock When Order is Cancelled","Restablecer las existencias cuando  la orden de venta se cancele"
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"Some of the products cannot be ordered in requested quantity.","Some of the products cannot be ordered in requested quantity."
"Some of the products cannot be ordered in the requested quantity.","Some of the products cannot be ordered in the requested quantity."
"Stock Options","Opciones de Existencias"
"Stock Status","Stock Status"
"The maximum quantity allowed for purchase is %s.","La cantidad máxima permitida para la compra es %s"
"The minimum quantity allowed for purchase is %s.","La cantidad mínima permitida para la compra es"
"The requested quantity for ""%s"" is not available.","La cantidad solicitada ""%s"" no está disponible."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is available for purchase in increments of %s only.","This product is available for purchase in increments of %s only."
"This product is currently out of stock.","Este producto se encuentra fuera de existencia"
"This product is not available in the requested quantity. %s of the items will be backordered.","This product is not available in the requested quantity. %s of the items will be backordered."
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Undefined product type.","Undefined product type."
"Update","Actualizar"
"Update product stock data","Actualizar existencias de los productos"
"Update the Product","Actualizar el producto"
