"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"Actions","Acciones"
"Active","Activo"
"Add New Rule","Agregar una nueva regla"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Apply"
"Apply Rules","Aplicar reglas"
"Attribute Set","Conjunto de atributos"
"By Fixed Amount","By Fixed Amount"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Catalog","Catálogo"
"Catalog Price Rule","Regla de precio para el catálogo"
"Catalog Price Rules","Reglas de precios del catálogo"
"Category","Categoría"
"Conditions","Condiciones"
"Conditions (leave blank for all products)","Condiciones (deje en blanco para todos los productos)"
"Conditions Combination","Combinación de condiciones"
"Customer Groups","Grupos de clientes"
"Date Expire","Fecha de caducidad"
"Date From","Desde fecha"
"Date Start","Fecha de inicio"
"Date To","Hasta fecha"
"Description","Descripción"
"Discount Amount","Discount Amount"
"Edit Rule","Editar la regla"
"Edit Rule '%s'","Editar la regla '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"From Date","Fecha desde"
"General Information","Información general"
"ID","ID"
"Inactive","Inactivo"
"New Rule","Nueva regla"
"No","No"
"Options","Opciones"
"Priority","Prioridad"
"Product Attribute","Atributo del producto"
"Promotions","Promociones"
"Rule Information","Información de la regla"
"Rule Name","Nombre de la regla"
"Save and Apply","Guardar y aplicar"
"Save and Continue Edit","Save and Continue Edit"
"Status","Estado"
"Stop Further Rules Processing","Stop Further Rules Processing"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists.","This rule no longer exists."
"To Date","A la fecha"
"To Fixed Amount","To Fixed Amount"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Actualizar productos %s %s: %s"
"Website","Website"
"Websites","Sitios web"
"Wrong rule specified.","Wrong rule specified."
"Yes","Sí"
