"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Enlace</a>"
"Actions XML is not valid.","Actions XML is not valid."
"An error occurred while opening file: ""%s"".","An error occurred while opening file: ""%s""."
"Could not load file: ""%s"".","Could not load file: ""%s""."
"Could not save file: %s.","Could not save file: %s."
"Declared adapter %s was not found.","Declared adapter %s was not found."
"Destination folder ""%s"" is not a directory.","Destination folder ""%s"" is not a directory."
"Destination folder ""%s"" is not writable.","Destination folder ""%s"" is not writable."
"Done","Hecho"
"Dry run set, stopping execution.","Dry run set, stopping execution."
"Error in field mapping: field list for mapping is not defined.","Error in field mapping: field list for mapping is not defined."
"ETA: %s","Tiempo estimado de llegada: %s"
"File ""%s"" does not exist.","File ""%s"" does not exist."
"Found %d rows.","Found %d rows."
"hour","hora"
"hours","horas"
"Less than a minute","Menos de un minuto"
"Loaded successfully: ""%s"".","Loaded successfully: ""%s""."
"Memory Used: %s","Memoria utilizada: %s"
"Method ""%s"" not defined in adapter %s.","Method ""%s"" not defined in adapter %s."
"Method ""%s"" was not defined in adapter %s.","Method ""%s"" was not defined in adapter %s."
"minute","minuto"
"minutes","minutos"
"Please declare ""adapter"" and ""method"" nodes first.","Please declare ""adapter"" and ""method"" nodes first."
"Processed records: %s","Registros procesados: %s"
"Profile with the same name already exists.","Profile with the same name already exists."
"Saved successfully: ""%s"" [%d byte(s)].","Saved successfully: ""%s"" [%d byte(s)]."
"Sheet 1","Hoja 1"
"Skip undefined row.","Skip undefined row."
"Starting %s :: %s","Comenzando %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","The destination folder ""%s"" does not exist or there is no access to create it."
"Total records: %s","Registros totales: %s"
