"-- Please select --","-- Por favor seleccione --"
"Allowed Currencies","Allowed Currencies"
"Base Currency","Base Currency"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Can't convert rate from ""%s-%s"".","Can't convert rate from ""%s-%s""."
"Cannot retrieve rate from %s.","Cannot retrieve rate from %s."
"Connection Timeout in Seconds","Connection Timeout in Seconds"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country and Format Type combination should be unique","La combinación del país y el tipo de formato debe ser única"
"Country API","Country API"
"Currency","Moneda"
"Currency Options","Opciones de monedas"
"Currency Setup","Configuración de la moneda"
"Currency Update Warnings","Advertencias de la actualización de moneda"
"Default Display Currency","Default Display Currency"
"Directory","Directorio"
"Display not required State","Display not required State"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del correo electrónico"
"Error Email Sender","Error en el remitente del correo electrónico"
"Error Email Template","Error en la plantilla del correo electrónico"
"FATAL ERROR:","ERROR GRAVE:"
"Frequency","Frecuencia"
"Installed Currencies","Monedas instaladas"
"Invalid country code: %s","El código del país es inválido: %s"
"Invalid Import Service specified.","Invalid Import Service specified."
"Invalid rates received","Se recibieron tasas inválidas"
"Invalid target currency.","Invalid target currency."
"List of countries","Lista de paises"
"List of regions in specified country","Lista de provincias especificadas por paises"
"Postal Code is Optional for the following countries","Postal Code is Optional for the following countries"
"Region","Provincias"
"Region API","Region API"
"Scheduled Import Settings","Se han programado las configuraciones de importación"
"Select Your Currency","Seleccione su moneda"
"Service","Servicio"
"Start Time","Hora de inicio"
"State is required for","State is required for"
"State/Province","Estado/Provincia"
"States Options","States Options"
"Unable to initialize the import model.","Unable to initialize the import model."
"Undefined rate from ""%s-%s"".","Undefined rate from ""%s-%s""."
"WARNING:","ADVERTENCIA:"
"Webservicex","Webservicex"
"Your Currency","Your Currency"
"Your Currency:","Your Currency:"
"Your current currency is: %s","Su moneda actual es: %s"
