"Add","Add"
"Add links and samples to downloadable product","Add links and samples to downloadable product"
"Add New Row","Añadir nueva fila"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","Se ha producido un error al guardar el archivo(s)."
"attachment","Archivo adjunto"
"Availability:","Availability:"
"Back","Volver"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","Category API"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Fecha"
"Default Link Title","Enlace al título por defecto"
"Default Maximum Number of Downloads","Número máximo por defecto de descargas"
"Default Sample Title","Muestra el título por defecto"
"Delete","Delete"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"download","Descargar"
"Downloadable Information","Información descargable"
"Downloadable Product","Producto descargable"
"Downloadable Product Options","Opciones del producto descargable"
"Downloadable Product Section","Downloadable Product Section"
"Edit","Edit"
"Edit item parameters","Edit item parameters"
"Excl. Tax","Impuestos excluidos"
"File","Archivo"
"From:","Desde:"
"Gift Message","Mensaje de regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir a <a href=""%s"">mis productos descargables</a>"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"In stock","In stock"
"Incl. Tax","Impuestos incluidos"
"inline","en linea"
"Invalid download link type.","Invalid download link type."
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invoiced","Facturado"
"Links can be purchased separately","Los enlaces pueden ser comprados por separado"
"List","List"
"Max. Downloads","Máximas descargas"
"Message:","Mensage:"
"Move","Move"
"Move to wishlist","Move to wishlist"
"My Downloadable Products","Mis productos descargable"
"Open Links in New Window","Abrir un vínculo en una ventana nueva"
"Order #","Pedido #"
"Order id cannot be null","Order id cannot be null"
"Order item id cannot be null","Order item id cannot be null"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Ordered","Pedido"
"Out of stock","Out of stock"
"Pending","Pendiente"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Please log in to download your product or purchase <a href=""%s"">%s</a>."
"Please log in to download your product.","Por favor inicie la sesión para descargar su producto."
"Please set resource file and link type.","Please set resource file and link type."
"Please specify product link(s).","Por favor, especifique los vínculo(s) del producto"
"Price","Precio"
"Product downloadable links","Product downloadable links"
"Qty","Qty"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas restantes"
"Remove","Remove"
"Remove Item","Remove Item"
"Remove links and samples from downloadable product","Remove links and samples from downloadable product"
"Requested link does not exist.","Requested link does not exist."
"Retrieve links and samples list from downloadable product","Retrieve links and samples list from downloadable product"
"Sample","Muestra"
"See price before order confirmation.","See price before order confirmation."
"Shareable","Compartible"
"Shipped","Enviado"
"SKU","SKU"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"Sort Order","Pedido pequeño"
"Start Download","Inicio descargar"
"Status","Estatus"
"Subtotal","Subtotal"
"The file does not exist.","The file does not exist."
"The link has expired.","The link has expired."
"The link is not available.","The link is not available."
"There are files that were selected but not uploaded yet. Please upload or remove them first","There are files that were selected but not uploaded yet. Please upload or remove them first"
"Title","Título"
"To:","De:"
"U","U"
"Unlimited","Ilimitado"
"Update","Update"
"Use Content-Disposition","Use Content-Disposition"
"Use Default Value","Use Default Value"
"View Order","Vista del pedido"
"What's this?","What's this?"
"You have not purchased any downloadable products yet.","Usted no ha comprado ningún producto descargable todavía."
