" Copy","Copiar"
"Action","Acción"
"Add New Template","Agregar una nueva plantilla"
"Add to Queue","Agregar a la cola"
"Allow Guest Subscription","Allow Guest Subscription"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Are you sure that you want to delete this template?","Está seguro de borrar esta plantilla?"
"Are you sure that you want to strip all tags?","Está seguro de desaplicar todas las etiquetas?"
"Back","Volver atrás"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Confirmation request has been sent.","Confirmation request has been sent."
"Convert to Plain Text","Convertir a texto plano"
"Create Newsletter Template","Crear una plantilla para el boletín de noticias"
"Customer","Cliente"
"Customer First Name","Customer First Name"
"Customer Last Name","Customer Last Name"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Date Added","Fecha agregada"
"Date Updated","Fecha actualizada"
"Delete","Delete"
"Delete Selected Problems","Borrar los problemas seleccionados"
"Delete Template","Borrar la plantilla"
"Do you really want to cancel the queue?","Está seguro de cancelar la cola de tareas?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Editar el Boletín de noticias"
"Edit Newsletter Template","Editar la plantilla del Boletín de noticias"
"Edit Queue","Editar la cola de tareas"
"Edit Template","Editar la plantilla"
"Email","Correo electrónico"
"Enter your email address","Escriba su dirección de correo electrónico"
"Error Code","Código del error"
"Error Text","Texto del error"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Invitado"
"ID","ID"
"Invalid queue selected.","Invalid queue selected."
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Invalid subscription ID.","Invalid subscription ID."
"Message","Mensaje"
"Need to Confirm","Debe confirmar"
"New Newsletter Template","Nueva plantilla para el Boletín de noticias"
"New Template","Nueva plantilla"
"Newsletter","Boletín de noticias"
"Newsletter Message Preview","Vista previa del Boletín de noticias"
"Newsletter Problem Reports","Informes de problemas del Boletín de noticias"
"Newsletter Queue","Cola de tareas del Boletín de noticias"
"Newsletter Section","Sección"
"Newsletter Sign-up:","Newsletter Sign-up:"
"Newsletter Styles","Newsletter Styles"
"Newsletter Subscribers","Suscriptos al Boletín de noticias"
"Newsletter Subscription","Subscripción a la lista de correo"
"Newsletter subscription confirmation","Confirmación de la subscripción al Boletín de noticias"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter subscription success","Suscripción exitosa al Boletín de noticias"
"Newsletter Subscriptions","Suscripciones al boletín de noticias"
"Newsletter Templates","Plantillas del Boletín de noticias"
"Newsletter unsubscription success","Ha cancelado con éxito su subscripción al Boletín de noticias"
"No problems found.","No problems found."
"No subscribers selected.","No subscribers selected."
"No Templates Found","No se encontraron plantillas"
"Not Activated","Not Activated"
"Not Sent","No enviado"
"Pause","Pausa"
"Paused","Pausado"
"Please enter a valid email address.","Please enter a valid email address."
"Please enter new template name","Por favor ingrese un nuevo nombre de plantilla"
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","Por favor seleccione subscripto(s)"
"Preview","Vista previa"
"Preview Template","Vista previa de la plantilla"
"Processed","Procesado"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Queue Finish","Tareas finalizadas"
"Queue Information","Información de la cola de tareas"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","Inicio de la cola de tareas"
"Queue Subject","Asunto de la cola de tareas"
"Recipients","Recipientes"
"Reset","Reiniciar"
"Resume","Continuar"
"Return HTML Version","Return HTML Version"
"Save and Resume","Save and Resume"
"Save As","Guardar como"
"Save Newsletter","Guardar el Boletín de noticias"
"Save Template","Guardar la plantilla"
"Selected problem subscribers have been unsubscribed.","Selected problem subscribers have been unsubscribed."
"Selected problems have been deleted.","Selected problems have been deleted."
"Sender","Remitente"
"Sender Email","Correo electrónico del remitente"
"Sender Name","Nombre del remitente"
"Sending","Enviando"
"Sent","Enviado"
"Sign up for our newsletter","Sign up for our newsletter"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","Comenzar"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de la tienda"
"Subject","Asunto"
"Submit","Submit"
"Subscribe","Subscribirse"
"Subscribed","Subscribirse"
"Subscriber","Subscriptor"
"Subscribers","Subscriptores"
"Subscribers From","Suscriptores desde"
"Subscription Options","Opciones de subscripción"
"Success Email Sender","Remitente de correo para operación exitosa"
"Success Email Template","Plantilla de correo para operación exitosa"
"Template Content","Contenido de la plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de la  plantilla"
"Template Styles","Template Styles"
"Template Subject","Asunto de la plantilla"
"Template Type","Tipo de plantilla"
"Thank you for your subscription.","Thank you for your subscription."
"The subscription has been removed.","The subscription has been removed."
"The subscription has been saved.","The subscription has been saved."
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: %s","Hubo un problema con la subscripción: %s"
"There was a problem with the un-subscription.","Hubo un problema con la cancelación de subscripción"
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Type","Tipo"
"Unconfirmed","Unconfirmed"
"Unsubscribe","Cancelar subscripción"
"Unsubscribe Selected","Cancelar subscripción de los seleccionados"
"Unsubscribed","Desubscribirse"
"Unsubscription Email Sender","Remitente de correo electrónico de cancelación de subscripción"
"Unsubscription Email Template","Plantilla de correo electrónico de cancelación de subscripción"
"View Newsletter","Ver el Boletín de noticias"
"Website","Sitio Web"
"You have been unsubscribed.","You have been unsubscribed."
"Your subscription has been confirmed.","Your subscription has been confirmed."
