"%s Item(s)","%s Artículo(s)"
"%s-%s of %s","%s-%s de %s"
"&copy; 2014 Magento Demo Store. All Rights Reserved.","&copy; 2014 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-) Clicar o arrastrar para cambiar el valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click en cualquier parte para incrementar"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga el botón del ratón sobre cualquiera de los botones de arriba para acelerar la selección."
"- or click and drag for faster selection.","- o  clicar y arrastrar para acelerar la selección."
"- or Shift-click to decrease it","- o Shift-click para disminuir"
"- Use the %s buttons to select month","Utiliza %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","-Utiliza %s, %s selecciona el año"
"-- Please Select --","-- Elija --"
"1 column","1 columna"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"3 columns","3 columnas"
"About the calendar","Acerca del calendario"
"Account","Cuenta"
"All Empty Layout Pages","All Empty Layout Pages"
"All One-Column Layout Pages","All One-Column Layout Pages"
"All Pages","All Pages"
"All Pages (Print Version)","All Pages (Print Version)"
"All Three-Column Layout Pages","All Three-Column Layout Pages"
"All Two-Column Layout Pages (Left Column)","All Two-Column Layout Pages (Left Column)"
"All Two-Column Layout Pages (Right Column)","All Two-Column Layout Pages (Right Column)"
"Allow","Allow"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Haga click <a href=""%s"">aquí</a> si no ha pasado nada"
"Close","Cerrar"
"Close Window","Cerrar la ventana"
"Date selection:","Selección  de fecha:"
"Default Description","Descripción por defecto"
"Default welcome msg!","Mensaje por defecto de bienvenida!"
"DHTML Date/Time Selector","Selector DHTML Fecha/Tiempo"
"Display %s first","Mostrar %s primero"
"Distributed under GNU LGPL. See %s for details.","Distribuido con licencia GNU LGPL. Ver %s para más detalles"
"Drag to move","Arrastrar para mover"
"Empty","Vacío"
"For latest version visit: %s","La última versión visitada: %s"
"Free Shipping on orders over 50$","Free Shipping on orders over 50$"
"Go Today","Ir hoy"
"Help Us to Keep Magento Healthy","Ayúdenos a mantener saludable a Magento"
"Interface Language","Idioma de la interfase"
"Items %s to %s of %s total","Artículos %s a %s de %s en total"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"Left Column","Left Column"
"Left Column First (shows above main column on smaller screens)","Left Column First (shows above main column on smaller screens)"
"Main Content Area","Main Content Area"
"Menu","Menu"
"Navigation Bar","Navigation Bar"
"Next","Next"
"Next month (hold for menu)","El mes que viene"
"Next year (hold for menu)","El próximo año"
"Page Bottom","Page Bottom"
"Page Footer","Page Footer"
"Page Header","Page Header"
"Page Top","Page Top"
"Page:","Página:"
"per page","por página"
"Prev. month (hold for menu)","Visualizar mes"
"Prev. year (hold for menu)","Visualizar año"
"Previous","Previo"
"Redirecting...","Redirigiendo..."
"Report All Bugs","Informar todos los errores"
"Results per page","Results per page"
"Right Column","Right Column"
"Search","Buscar"
"Select date","Seleccionar fecha"
"Select Store","Seleccionar tienda"
"Select Store:","Seleccionar Tienda:"
"Show","Mostrar"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado a través de esta tienda no será procesado ni atendido."
"Time selection:","Tiempo de selección:"
"Time:","Tiempo:"
"View All","Ver Todos"
"Welcome, %s!","Bienvenido, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","You must have JavaScript enabled in your browser to utilize the functionality of this website."
"Your Language","Idioma"
"Your Language:","Idioma:"
