"Actions","Acciones"
"Add Answer","Agregar una respuesta"
"Add New Answer","Agregar una nueva respuesta"
"Add New Poll","Agregar una nueva encuesta"
"Answer Title","Título de la respuesta"
"Answer Title:","Título de la respuesta:"
"Answer with the same title in this poll","Respuesta con el mismo título en esta encuesta"
"Are you sure you want to delete it?","Está seguro de borrarlo?"
"Assigned Answers","Respuestas asignadas"
"Closed","Cerrada"
"Community Poll","Encuesta de la comunidad"
"Date Closed","Fecha de cierre"
"Date Posted","Fecha de la publicación"
"Delete","Borrar"
"Delete Answer","Borrar la respuesta"
"Delete Poll","Borrar la encuesta"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Disallow Voting in a Poll Multiple Times from Same IP-address"
"Edit Answer '%s'","Editar respuesta '%s'"
"Edit Poll '%s'","Editar encuesta '%s'"
"Edit Poll Answer","Editar las respuestas de la encuesta"
"ID","ID"
"Invalid Answer.","Invalid Answer."
"New Poll","Nueva encuesta"
"Number of Responses","Número de respuestas"
"Open","Abierta"
"Poll Answers","Respuestas de la encuesta"
"Poll Information","Información de la encuesta"
"Poll Manager","Gestor de encuestas"
"Poll Question","Pregunta de la encuesta"
"Poll with the same question","Encuesta con la misma pregunta"
"Polls","Polls"
"Save Answer","Guardar la respuesta"
"Save Poll","Guardar la encuesta"
"Status","Estado"
"The answer has been saved.","The answer has been saved."
"The poll does not exist.","The poll does not exist."
"Unable to find an answer to delete.","Unable to find an answer to delete."
"Visible In","Visible en"
"Vote","Votar"
"Votes Count","Contador de votos"
"Votes Count:","Contador de votos:"
