"Abandoned Carts","Carritos abandonados"
"Action","Acción"
"Add to Cart","Agregar al carrito"
"Add to Compare","Agregar a la lista de comparación"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Any","Any"
"Applied Coupon","Cupón aplicado"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation."
"Are you sure?","Are you sure?"
"Avg. Approved Rating","Avg. Approved Rating"
"Avg. Rating","Avg. Rating"
"Bestsellers","Más vendidos"
"Bought from wishlists","Comprado desde la lista de artículos de interés"
"Carts","Carritos"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Coupons","Cupones"
"Coupons Usage Report","Coupons Usage Report"
"Created At","Created At"
"CSV","CSV"
"Current Month Starts","Current Month Starts"
"Customer","Cliente"
"Customer Name","Nombre del cliente"
"Customer Tags","Etiquetas del cliente"
"Customers","Clientes"
"Customers by Number of Orders","Clientes por número de Pedidos"
"Customers by Orders Total","Clientes por total de Pedidos"
"Customers Report","Informe de los clientes"
"Customers Reviews","Opiniones de los clientes"
"Customers Tags","Etiquetas de los clientes"
"Customers that have wishlist: %s%","Clientes que tienen lista de artículos de interés: %s%"
"Dashboard","Dashboard"
"Day","Día"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Description","Description"
"Detail","Detalle"
"Downloads","Descargas"
"Email","Correo electrónico"
"Empty Rows","Empty Rows"
"Excel XML","Excel XML"
"Filter","Filter"
"First Name","Nombre"
"From","From"
"Guest","Invitado"
"Hits","Visitas"
"ID","ID"
"Index model name must be defined","Index model name must be defined"
"Invalid date specified.","Invalid date specified."
"Invoiced","Facturado"
"IP Address","IP Address"
"Items in Cart","Artículos en el carrito"
"Last Name","Apellido"
"Last Review","Ultima opinión"
"Link","Vínculo"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Low Stock","Existencia baja"
"Match Period To","Match Period To"
"Month","Mes"
"Most Viewed","Más Visto"
"Name","Nombre"
"New Accounts","Nuevas cuentas"
"No","No"
"Number Added","Número agregado"
"Number Fulfilled","Número cumplido"
"Number of Items","Número de artículos"
"Number of items bought from a wishlist: %s","Número de artículos comprados desde una lista de artículos de interés: %s"
"Number of New Accounts","Número de nuevas cuentas"
"Number of Products to display","Number of Products to display"
"Number Of Reviews","Número de opiniones"
"Number of Times Deleted","Number of Times Deleted"
"Number of times wishlists have been shared (emailed): %s","Número de veces que las listas de artículos de interés fueron compartidas (enviadas por correo): %s"
"Number of Total Tags","Número total de etiquetas"
"Number of Unique Tags","Número de etiquetas únicas"
"Number of Views","Número de vistas"
"Number of wishlist conversions: %s","Número de conversiones de listas de artículos de interés: %s"
"Number of wishlist referrals: %s","Número de referidos de listas de artículos de interés: %s"
"Number of wishlists: %s","Número de listas de artículos de interés: %s"
"Number Purchased","Número comprado"
"Number Viewed","Número visto"
"Order Status","Order Status"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Orders","Pedidos"
"Out of stock","Sin existencia"
"Period","Period"
"Poducts Report","Informe de los productos"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidad"
"Price","Precio"
"Product Name","Nombre del producto"
"Product Reviews","Opiniones del producto"
"Product SKU","Product SKU"
"Product Tags","Etiquetas del producto"
"Products","Productos"
"Products in carts","Productos en carritos"
"Products Ordered","Products Ordered"
"Products Report","Informe de los productos"
"Products Reviews","Opiniones de los productos"
"Products Tags","Etiquetas de productos"
"Purchases","Compras"
"Quantity of Items","Cantidad de artículos"
"Quantity Ordered","Cantidad pedida"
"Recently Compared","Recently Compared"
"Recently Compared Products","Productos comparados recientemente"
"Recently Viewed","Recently Viewed"
"Recently Viewed Products","Productos vistos recientemente"
"Recently Viewed/Compared Products","Productos vistos/comparados recientemente"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Refresh Statistics","Refresh Statistics"
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Refunds","Refunds"
"Report","Report"
"Reports","Informes"
"Results","Resultados"
"Revenue","Ingresos"
"Review","Opinión"
"Reviews","Opiniones"
"Reviews for %s","Opiniones para %s"
"Sales","Ventas"
"Sales Report","Informe de ventas"
"Search Query","Search Query"
"Search Terms","Términos de búsqueda"
"Select day of the month.","Select day of the month."
"Shipping","Envío"
"Shopping Cart","Carrito de compras"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Show Actual Values","Show Actual Values"
"Show for Current","Mostrar para el actual"
"Show Report","Show Report"
"Specified","Specified"
"Statistics","Statistics"
"Stock Qty","Cantidad de existencias"
"Submitted In","Enviado en"
"Submitted On","Enviado el"
"Subtotal","Subtotal"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalle de etiqueta ""%s"""
"Tag Detail","Detalle de la etiqueta"
"Tag Name","Nombre de la etiqueta"
"Tag Use","Tag Use"
"Tags Submitted by %s","Tags Submitted by %s"
"Tags submitted to %s","Etiquetas enviadas a %s"
"Tax","Impuesto"
"Title","Título"
"To","To"
"Total","Total"
"Total invoiced","Total facturado"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Total Ordered Report","Total Ordered Report"
"Total refunded","Total reembolsado"
"Total Refunded Report","Total Refunded Report"
"Total Shipped Report","Total Shipped Report"
"Total Tags","Total de etiquetas"
"undefined","undefined"
"Updated At","Updated At"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Visible In","Visible en"
"Wishlist Report","Informe de la lista de artículos de interés"
"Wishlist vs. Regular Order","Lista de artículos de interés vs. Pedido habitual"
"Wishlists","Lista de artículos de interés"
"Year","Año"
"Year-To-Date Starts","Year-To-Date Starts"
"Yes","Yes"
"Your Recently Compared","Comparados recientemente"
"Your Recently Viewed","Vistos recientemente"
