"%d Review(s)","%d Opinion(es)"
"%s Review(s)","%s Opinion(es)"
"(Posted on %s)","(Realizado el %s)"
"1 star","1 estrella"
"2 star","2 star"
"2 stars","2 estrellas"
"3 star","3 star"
"3 stars","3 estrellas"
"4 star","4 star"
"4 stars","4 estrellas"
"5 star","5 star"
"5 stars","5 estrellas"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Agregar una nueva opinión"
"Add Your Review","Agregar su opinión"
"Administrator","Administrador"
"All Reviews","Todas las opiniones"
"All Reviews of Customer `%s`","All Reviews of Customer `%s`"
"All Reviews of Product `%s`","All Reviews of Product `%s`"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Approved","Approved"
"Are you sure you want to do this?","¿Seguro que quiere hacer esto?"
"Are you sure?","Está seguro?"
"Average Customer Rating","Promedio de la calificación de los clientes"
"Average Customer Rating:","Promedio de la calificación de los clientes:"
"Back","Volver atrás"
"Back to Main Product Info","Volver a la información del producto principal"
"Back to My Reviews","Volver a Mis opiniones"
"Back to Product Reviews","Volver a las Opiniones del producto"
"Be the first to review this product","Sea el primero en opinar sobre este producto"
"Catalog Product Review View","Catalog Product Review View"
"Catalog Product Reviews List","Catalog Product Reviews List"
"Created On","Creado el"
"Customer","Cliente"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","Opiniones del cliente"
"Customers Reviews","Customers Reviews"
"Delete","Borrar"
"Delete Review","Borrar la opinión"
"Detailed Rating","Calificación detallada"
"Edit Review '%s'","Editar la opinión '%s'"
"Guest","Invitado"
"How do you rate this product?","¿Cómo califica a este producto?"
"ID","ID"
"Let us know your thoughts","Let us know your thoughts"
"Manage Ratings","Gestionar comentarios"
"My Product Reviews","Mis opiniones de productos"
"My Recent Reviews","Mis opiniones recientes"
"Name","Nombre"
"Name in Store","Name in Store"
"New Review","Nueva opinión"
"Nickname","Apodo"
"Nickname can't be empty","Nickname can't be empty"
"Not Approved","Not Approved"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending","Pending"
"Pending Reviews","Opiniones pendientes"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a product","Por favor, seleccione un producto"
"Please select one of each of the ratings above","Por favor, seleccione una de las calficaciones de arriba"
"Posted By","Realizado por"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del producto"
"Product Rating","Calificación del producto"
"Product Rating:","Calificación del producto:"
"Product Review (submitted on %s):","Opinión del producto (enviada el %s):"
"Product Reviews","Opiniones del producto"
"Product SKU","Código del producto"
"Products Reviews","Products Reviews"
"Qty","Cantidad"
"Rating:","Calificación:"
"Review","Opinión"
"Review (submitted on %s):","Review (submitted on %s):"
"Review by %s","Opinó %s"
"Review by <span>%s</span>","Review by <span>%s</span>"
"Review can't be empty","Review can't be empty"
"Review Details","Detalles de la opinión"
"Review Form Fields Before","Review Form Fields Before"
"Review summary can't be empty","Review summary can't be empty"
"Reviews","Reviews"
"Reviews and Ratings","Comentarios y puntuaciones"
"Save Review","Guardar la opinión"
"SKU","CODIGO"
"Status","Estado"
"Submit Review","Enviar opinión"
"Summary of Review","Resumen de la opinión"
"Summary of Your Review","Resumen de su opinión"
"Summary Rating","Calificación sumaria"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","Unable to post the review."
"Update Status","Update Status"
"View All Reviews","Ver todas las opiniones"
"View Details","Ver los detalles"
"Visible In","Visible en"
"Websites","Websites"
"What's your nickname?","What's your nickname?"
"Write Your Own Review","Escriba su propia opinión"
"You have submitted no reviews.","Usted no ha enviado opiniones."
"You're reviewing:","You're reviewing:"
"Your Rating:","Su calificación:"
"Your Review (submitted on %s):","Su opinión (realizada el %s):"
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
