"Add Recipient","Agregar un recipiente"
"Allow for Guests","Permitir para Invitados"
"An invalid email address for recipient was entered.","An invalid email address for recipient was entered."
"At least one recipient must be specified.","At least one recipient must be specified."
"Back","Back"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Email Address","Dirección de correo electrónico"
"Email Address:","Dirección de correo electrónico:"
"Email Templates","Email Templates"
"Email to a Friend","Enviar correo electrónico a un amigo"
"Email:","Correo electrónico:"
"Enabled","Habilitado"
"Invalid sender email.","Invalid sender email."
"Invalid Sender Information","Invalid Sender Information"
"Limit Sending By","Limitar el envío por"
"Max Products Sent in 1 Hour","Máxima cantidad de productos enviados en 1 hora"
"Max Recipients","Máximos recipientes"
"Maximum %d email addresses allowed.","Máximo de %d direcciones de correo permitidas."
"Message:","Mensaje:"
"Name","Nombre"
"Name:","Nombre:"
"No more than %d emails can be sent at a time.","No more than %d emails can be sent at a time."
"Please define a correct Cookie instance.","Please define a correct Cookie instance."
"Please define a correct Product instance.","Please define a correct Product instance."
"Please define the correct Sender information.","Please define the correct Sender information."
"Recipient:","Recipiente:"
"Remove Email","Quitar dirección de correo"
"Select Email Template","Select Email Template"
"Send Email","Send Email"
"Send product to a friend","Enviar un correo sobre este producto a un amigo"
"Sender:","Remitente:"
"Some emails were not sent.","Some emails were not sent."
"The link to a friend was sent.","The link to a friend was sent."
"The message cannot be empty.","The message cannot be empty."
"The messages cannot be sent more than %d times in an hour","The messages cannot be sent more than %d times in an hour"
"The sender name cannot be empty.","The sender name cannot be empty."
"There were some problems with the data.","There were some problems with the data."
"You have exceeded limit of %d sends in an hour","You have exceeded limit of %d sends in an hour"
